ID;Site;Latitude ;Longitude ;Exact location ;Literary source;Site type;Min_date;Max_date;Bibliography - title nr. 1 ;DOI;Bibliography - title nr. 2 ;DOI;Notes
64;Agios Dimitrios (Rethymno);35,353696;24,573954;Y;;church;401;700;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;
65;Agios Dimitrios (Rethymno);35,353696;24,573954;Y;;church;961;1205;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;
66;Agios Georgios (Kalokasia) Kastri ;35,213952;24,21732;Y;;fortification;301;824;Nowicki, Krzysztof. 2000. Defensible sites in Crete, c. 1200-800 B.C: (LM IIIB/IIIC trough early geometric). Liège: Université de Liège.;;;;
67;Agios Georgios (Kalokasia) Kastri ;35,213952;24,21732;Y;;fortification;961;1205;Nowicki, Krzysztof. 2000. Defensible sites in Crete, c. 1200-800 B.C: (LM IIIB/IIIC trough early geometric). Liège: Université de Liège.;;;;
68;Agios Georgios (Lasithi);35,16674;25,483896;Υ;;settlement ;301;1100;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;coordinates: village center
69;Agios Georgios: Augousti ;35,174244;25,484319;Y;;settlement ;201;700;Watrous, Livingston Vance. 1982. Lasithi, a history of settlement on a highland plain in Crete. Princeton, N.J.: American School of Classical Studies at Athens. http://catalog.hathitrust.org/api/volumes/oclc/6941716.html.;;;;
70;Agios Charalampos: Pervoli;35,176101;25,439636;Y;;settlement;201;700;Watrous, Livingston Vance. 1982. Lasithi, a history of settlement on a highland plain in Crete. Princeton, N.J.: American School of Classical Studies at Athens. http://catalog.hathitrust.org/api/volumes/oclc/6941716.html.;;;;
71;Agios Ioannis - FES 44;35,037594;24,816159;Y;;settlement;401;600;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;;;
72;Agios Ioannis - FES 96;35,034893;24,810033;Y;;settlement;201;824;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;;;
73;Agios Ioannis (Amariou);35,171892;24,69708;N;;settlement\church;401;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;1km W of Agios Ioannis, 4)
